name,department,profile_url,profile_img_url,profile_content
Kristi S. Anseth,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/kristi-s-anseth,https://www.colorado.edu/chbe/sites/default/files/styles/grid-4/public/field/image/Kristi%20Anseth%2001.jpg?itok=1AAaQnmJ,
Tom Belval,Chemical & Biological Engineering (CHBE),,http://www.colorado.edu/chbe/sites/default/files/styles/thumbnail/public/Tom%20Belval.jpg,
Christopher N. Bowman,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/christopher-n-bowman,https://www.colorado.edu/chbe/sites/default/files/styles/grid-4/public/Bowman_0.jpg,
Stephanie J. Bryant,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/stephanie-j-bryant,https://www.colorado.edu/chbe/sites/default/files/styles/grid-4/public/Bryant_0.jpg,
Jennifer N. Cha,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/jennifer-n-cha,https://www.colorado.edu/chbe/sites/default/files/styles/grid-3/public/Jennifer%20Cha_2.jpg,
Anushree Chatterjee,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/anushree-chatterjee,https://www.colorado.edu/chbe/sites/default/files/styles/grid-4/public/Anushree%20Chatterjee_1.JPG,
David E. Clough,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/david-e-clough,https://www.colorado.edu/chbe/sites/default/files/styles/grid-4/public/Clough.jpg,
Robert H. Davis,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/robert-h-davis,https://www.colorado.edu/chbe/sites/default/files/styles/grid-4/public/Rob%20Davis_0.jpg,
Janet deGrazia,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/janet-de-grazia,https://www.colorado.edu/chbe/sites/default/files/styles/grid-4/public/Janet%20DeGrazia_jpeg_0.jpg,
John L. Falconer,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/john-l-falconer,https://www.colorado.edu/chbe/sites/default/files/styles/grid-4/public/Falconer_0.jpg,
H. Scott Fogler,Chemical & Biological Engineering (CHBE),,http://www.colorado.edu/chbe/sites/default/files/styles/thumbnail/public/Fogler.jpg,
Hans Funke,Chemical & Biological Engineering (CHBE),,http://www.colorado.edu/chbe/sites/default/files/styles/thumbnail/public/Hans_Funke_CC1.jpg,
Ryan T. Gill,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/ryan-t-gill,https://www.colorado.edu/chbe/sites/default/files/styles/grid-4/public/Ryan_Gill15GA%5B1%5D.JPG,
Douglas L. Gin,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/douglas-l-gin,https://www.colorado.edu/chbe/sites/default/files/styles/grid-4/public/Gin.jpg,
Andrew P. Goodwin,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/andrew-p-goodwin,https://www.colorado.edu/chbe/sites/default/files/styles/grid-4/public/Andrew_Goodwin_002PCA_2.JPG,
Christine M. Hrenya,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/christine-m-hrenya,https://www.colorado.edu/chbe/sites/default/files/styles/grid-4/public/Christine_M._Hrenya_%20March%202013_0.JPG,
Arthi Jayaraman,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/arthi-jayaraman,https://www.colorado.edu/chbe/sites/default/files/styles/grid-4/public/Arthi_Jayaraman%20June%202013_0.jpg,
Joel L. Kaar,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/joel-kaar,https://www.colorado.edu/chbe/sites/default/files/styles/grid-4/public/Joel_Kaar_PC004_0.JPG,
Mark J. Kastantin,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/mark-j-kastantin,https://www.colorado.edu/chbe/sites/default/files/styles/grid-4/public/Mark%20Kastantin_0.jpg,
Dhinakar S. Kompala,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/dhinakar-s-kompala,https://www.colorado.edu/chbe/sites/default/files/styles/grid-3/public/kompala_0.jpg,
Melissa J. Mahoney,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/melissa-j-mahoney,https://www.colorado.edu/chbe/sites/default/files/styles/grid-3/public/mahoney_0.jpg,
J. Will Medlin,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/j-will-medlin,https://www.colorado.edu/chbe/sites/default/files/styles/grid-4/public/Medlin.jpg,
Charles B. Musgrave,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/charles-b-musgrave,https://www.colorado.edu/chbe/sites/default/files/styles/grid-3/public/Charles%20Musgrave_0.jpg,
Prashant Nagpal,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/prashant-nagpal,https://www.colorado.edu/chbe/sites/default/files/styles/grid-3/public/Prashant%20Nagpal_2.jpg,
Richard D. Noble,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/richard-d-noble,https://www.colorado.edu/chbe/sites/default/files/styles/grid-4/public/Rich%20Noble_0.JPG,
Charlie Nuttelman,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/charlie-nuttelman,http://www.colorado.edu/chbe/sites/default/files/styles/grid-4/public/Charlie%20Nuttelman_0.JPG,
Theodore W. Randolph,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/theodore-w-randolph,https://www.colorado.edu/chbe/sites/default/files/styles/grid-4/public/Theodore%20Randolph_0.jpg,
Daniel K. Schwartz,Chemical & Biological Engineering (CHBE),http://www.colorado.edu/chbe/daniel-k-schwartz,https://www.colorado.edu/chbe/sites/default/files/styles/grid-4/public/Daniel%20Schwartz_0.jpg,
